!lambda    nu*dP/dnu  
! (um)   (erg s-1 H-1)
3.837E+01  3.601E-25  
3.802E+01  3.568E-25  
3.767E+01  3.535E-25  
3.733E+01  3.503E-25  
3.698E+01  3.472E-25  
3.664E+01  3.442E-25  
3.631E+01  3.411E-25  
3.597E+01  3.378E-25  
3.565E+01  3.349E-25  
3.532E+01  3.319E-25  
3.499E+01  3.289E-25  
3.467E+01  3.258E-25  
3.436E+01  3.229E-25  
3.404E+01  3.200E-25  
3.373E+01  3.170E-25  
3.342E+01  3.141E-25  
3.311E+01  3.113E-25  
3.281E+01  3.086E-25  
3.251E+01  3.057E-25  
3.221E+01  3.030E-25  
3.192E+01  3.003E-25  
3.162E+01  2.976E-25  
3.133E+01  2.951E-25  
3.105E+01  2.924E-25  
3.076E+01  2.900E-25  
3.048E+01  2.877E-25  
3.020E+01  2.854E-25  
2.992E+01  2.833E-25  
2.965E+01  2.811E-25  
2.938E+01  2.792E-25  
2.911E+01  2.773E-25  
2.884E+01  2.755E-25  
2.858E+01  2.739E-25  
2.831E+01  2.724E-25  
2.805E+01  2.711E-25  
2.780E+01  2.699E-25  
2.754E+01  2.689E-25  
2.729E+01  2.677E-25  
2.704E+01  2.670E-25  
2.679E+01  2.664E-25  
2.655E+01  2.658E-25  
2.630E+01  2.654E-25  
2.606E+01  2.650E-25  
2.582E+01  2.649E-25  
2.559E+01  2.649E-25  
2.535E+01  2.651E-25  
2.512E+01  2.654E-25  
2.489E+01  2.658E-25  
2.466E+01  2.663E-25  
2.443E+01  2.669E-25  
2.421E+01  2.677E-25  
2.399E+01  2.686E-25  
2.377E+01  2.696E-25  
2.355E+01  2.708E-25  
2.333E+01  2.721E-25  
2.312E+01  2.736E-25  
2.291E+01  2.750E-25  
2.270E+01  2.767E-25  
2.249E+01  2.786E-25  
2.228E+01  2.806E-25  
2.208E+01  2.827E-25  
2.188E+01  2.848E-25  
2.168E+01  2.870E-25  
2.148E+01  2.895E-25  
2.128E+01  2.920E-25  
2.109E+01  2.947E-25  
2.089E+01  2.975E-25  
2.070E+01  3.005E-25  
2.051E+01  3.036E-25  
2.032E+01  3.069E-25  
2.014E+01  3.105E-25  
1.995E+01  3.144E-25  
1.977E+01  3.187E-25  
1.959E+01  3.235E-25  
1.941E+01  3.295E-25  
1.923E+01  3.385E-25  
1.905E+01  3.569E-25  
1.888E+01  3.728E-25  
1.871E+01  3.599E-25  
1.854E+01  3.588E-25  
1.837E+01  3.646E-25  
1.820E+01  3.753E-25  
1.803E+01  3.942E-25  
1.786E+01  4.242E-25  
1.770E+01  4.329E-25  
1.754E+01  4.640E-25  
1.738E+01  5.326E-25  
1.722E+01  5.299E-25  
1.706E+01  5.380E-25  
1.690E+01  5.294E-25  
1.675E+01  5.108E-25  
1.660E+01  5.229E-25  
1.644E+01  6.084E-25  
1.629E+01  4.723E-25  
1.614E+01  4.180E-25  
1.600E+01  4.008E-25  
1.585E+01  3.906E-25  
1.570E+01  3.785E-25  
1.556E+01  3.715E-25  
1.542E+01  3.673E-25  
1.528E+01  3.646E-25  
1.514E+01  3.630E-25  
1.500E+01  3.625E-25  
1.486E+01  3.632E-25  
1.472E+01  3.657E-25  
1.459E+01  3.715E-25  
1.445E+01  3.840E-25  
1.432E+01  4.114E-25  
1.419E+01  4.428E-25  
1.406E+01  4.296E-25  
1.393E+01  4.255E-25  
1.380E+01  4.478E-25  
1.368E+01  4.957E-25  
1.355E+01  5.564E-25  
1.343E+01  5.753E-25  
1.330E+01  5.476E-25  
1.318E+01  5.359E-25  
1.306E+01  5.661E-25  
1.294E+01  6.492E-25  
1.282E+01  8.001E-25  
1.271E+01  9.920E-25  
1.259E+01  1.059E-24  
1.247E+01  9.306E-25  
1.236E+01  7.967E-25  
1.225E+01  7.531E-25  
1.213E+01  7.919E-25  
1.202E+01  8.467E-25  
1.191E+01  8.193E-25  
1.180E+01  7.453E-25  
1.169E+01  7.279E-25  
1.159E+01  8.264E-25  
1.148E+01  1.116E-24  
1.138E+01  1.603E-24  
1.127E+01  2.137E-24  
1.117E+01  1.513E-24  
1.107E+01  7.831E-25  
1.096E+01  5.408E-25  
1.086E+01  4.294E-25  
1.076E+01  3.708E-25  
1.067E+01  3.365E-25  
1.057E+01  3.068E-25  
1.047E+01  2.872E-25  
1.038E+01  2.743E-25  
1.028E+01  2.653E-25  
1.019E+01  2.589E-25  
1.009E+01  2.547E-25  
1.000E+01  2.521E-25  
9.908E+00  2.512E-25  
9.817E+00  2.519E-25  
9.727E+00  2.540E-25  
9.638E+00  2.577E-25  
9.550E+00  2.631E-25  
9.462E+00  2.704E-25  
9.376E+00  2.801E-25  
9.290E+00  2.929E-25  
9.204E+00  3.103E-25  
9.120E+00  3.344E-25  
9.036E+00  3.690E-25  
8.954E+00  4.212E-25  
8.872E+00  5.038E-25  
8.790E+00  6.393E-25  
8.710E+00  8.465E-25  
8.630E+00  1.041E-24  
8.551E+00  1.019E-24  
8.472E+00  8.867E-25  
8.395E+00  8.194E-25  
8.318E+00  8.161E-25  
8.241E+00  8.523E-25  
8.166E+00  9.424E-25  
8.091E+00  1.114E-24  
8.017E+00  1.386E-24  
7.943E+00  1.744E-24  
7.870E+00  2.058E-24  
7.798E+00  2.172E-24  
7.727E+00  2.188E-24  
7.656E+00  2.260E-24  
7.586E+00  2.203E-24  
7.516E+00  1.856E-24  
7.447E+00  1.464E-24  
7.379E+00  1.177E-24  
7.311E+00  9.772E-25  
7.244E+00  8.315E-25  
7.178E+00  7.202E-25  
7.112E+00  6.347E-25  
7.047E+00  5.714E-25  
6.982E+00  5.285E-25  
6.918E+00  5.051E-25  
6.855E+00  4.996E-25  
6.792E+00  5.067E-25  
6.730E+00  5.141E-25  
6.668E+00  5.072E-25  
6.607E+00  4.860E-25  
6.546E+00  4.687E-25  
6.486E+00  4.784E-25  
6.427E+00  5.413E-25  
6.368E+00  7.065E-25  
6.310E+00  1.077E-24  
6.252E+00  1.676E-24  
6.194E+00  1.698E-24  
6.138E+00  1.058E-24  
6.081E+00  6.306E-25  
6.026E+00  4.202E-25  
5.970E+00  3.135E-25  
5.916E+00  2.578E-25  
5.861E+00  2.331E-25  
5.808E+00  2.352E-25  
5.754E+00  2.640E-25  
5.702E+00  2.844E-25  
5.649E+00  2.398E-25  
5.598E+00  1.826E-25  
5.546E+00  1.474E-25  
5.495E+00  1.287E-25  
5.445E+00  1.206E-25  
5.395E+00  1.219E-25  
5.346E+00  1.352E-25  
5.297E+00  1.570E-25  
5.248E+00  1.535E-25  
5.200E+00  1.218E-25  
5.152E+00  9.712E-26  
5.105E+00  8.282E-26  
5.058E+00  7.421E-26  
5.012E+00  6.854E-26  
4.966E+00  6.447E-26  
4.920E+00  6.136E-26  
4.875E+00  5.887E-26  
4.831E+00  5.681E-26  
4.786E+00  5.506E-26  
4.742E+00  5.354E-26  
4.699E+00  5.221E-26  
4.656E+00  5.103E-26  
4.613E+00  4.997E-26  
4.571E+00  4.902E-26  
4.529E+00  4.815E-26  
4.487E+00  4.736E-26  
4.446E+00  4.664E-26  
4.406E+00  4.598E-26  
4.365E+00  4.537E-26  
4.325E+00  4.482E-26  
4.285E+00  4.431E-26  
4.246E+00  4.384E-26  
4.207E+00  4.342E-26  
4.169E+00  4.303E-26  
4.130E+00  4.269E-26  
4.093E+00  4.238E-26  
4.055E+00  4.211E-26  
4.018E+00  4.187E-26  
3.981E+00  4.169E-26  
3.945E+00  4.155E-26  
3.908E+00  4.146E-26  
3.873E+00  4.144E-26  
3.837E+00  4.149E-26  
3.802E+00  4.162E-26  
3.767E+00  4.187E-26  
3.733E+00  4.225E-26  
3.698E+00  4.280E-26  
3.664E+00  4.359E-26  
3.631E+00  4.470E-26  
3.597E+00  4.627E-26  
3.565E+00  4.852E-26  
3.532E+00  5.184E-26  
3.499E+00  5.691E-26  
3.467E+00  6.510E-26  
3.436E+00  7.946E-26  
3.404E+00  1.078E-25  
3.373E+00  1.755E-25  
3.342E+00  3.999E-25  
3.311E+00  1.513E-24  
3.281E+00  1.033E-24  
3.251E+00  2.951E-25  
3.221E+00  1.409E-25  
3.192E+00  8.991E-26  
3.162E+00  6.738E-26  
3.133E+00  5.552E-26  
3.105E+00  4.851E-26  
3.076E+00  4.400E-26  
3.048E+00  4.091E-26  
3.020E+00  3.868E-26  
2.992E+00  3.700E-26  
2.965E+00  3.569E-26  
2.938E+00  3.463E-26  
2.911E+00  3.376E-26  
2.884E+00  3.302E-26  
2.858E+00  3.239E-26  
2.831E+00  3.183E-26  
2.805E+00  3.133E-26  
2.780E+00  3.087E-26  
2.754E+00  3.045E-26  
2.729E+00  3.007E-26  
2.704E+00  2.970E-26  
2.679E+00  2.935E-26  
2.655E+00  2.902E-26  
2.630E+00  2.871E-26  
2.606E+00  2.840E-26  
2.582E+00  2.810E-26  
2.559E+00  2.781E-26  
2.535E+00  2.752E-26  
2.512E+00  2.724E-26  
2.489E+00  2.697E-26  
2.466E+00  2.669E-26  
2.443E+00  2.641E-26  
2.421E+00  2.614E-26  
2.399E+00  2.587E-26  
2.377E+00  2.560E-26  
2.355E+00  2.534E-26  
2.333E+00  2.507E-26  
2.312E+00  2.481E-26  
2.291E+00  2.455E-26  
2.270E+00  2.428E-26  
2.249E+00  2.402E-26  
2.228E+00  2.375E-26  
2.208E+00  2.347E-26  
2.188E+00  2.319E-26  
2.168E+00  2.291E-26  
2.148E+00  2.261E-26  
2.128E+00  2.230E-26  
2.109E+00  2.198E-26  
2.089E+00  2.163E-26  
2.070E+00  2.126E-26  
2.051E+00  2.086E-26  
2.032E+00  2.041E-26  
