Spec        m/mH  ED(K) Eb(K) dEb(K)                           dHf(kcal/mol)
JH            1   450.  225. 3.0E+01 Herma, Ebfac=50%         *  +51.63
X             1   350.  175. 3.0E+01 TA H2Oice, Ebfac=50%     *  +51.63
X             1   350.  287. 3.0E+01 TA H2Oice, Eb Katz       *  +51.63
X             1   373.  287. 3.0E+01 Katz et al. 1999         *  +51.63
JH2           2    23.  250. 0.0e+00 Herma, Ebfac=50%         *    0.00 
X             2   315.  158. 0.0e+00 Katz, Ebfac=50%          *    0.00
JSiS         60  3800.    0. 0.0e+00 Si+S                     *   25.99
JNaOH        40 14650.    0. 0.0e+00 Na+OH                    *  -46.41
JHCNCC       51  4580.    0. 0.0e+00 HC3N                     *  +84.00
JHCCNC       51  4580.    0. 0.0e+00 HC3N                     *  +84.00
JHNCCC       51  4580.    0. 0.0e+00 HC3N                     *  +84.00
JNH2CHO      45  5556.    0. 0.0e+00 NH2+HCO                  *  -44.00 
JC6H6        78  7587.    0. 0.0e+00 C6H4+H+H                 *  +19.80
JHCOOCH3     60  6295.    0. 0.0e+00 HCOOH+CH3-H              *  -70.00 
JCH2PH       30  2600.    0. 0.0e+00 CH2+P+H                  *  -67.40
JCCl         47  1900.    0. 0.0e+00 CL+C                     * +104.20
JCl          35  1100.    0. 0.0e+00 same as S                *  +28.60
JClO         51  1900.    0. 0.0e+00 CL+O                     *  +24.20
JCP          43  1900.    0. 0.0e+00 C+P                      * +123.80
JHCl         36  1550.    0. 0.0e+00 CL+H                     *  -22.00
JHCP         37  2350.    0. 0.0e+00 H+C+P                    *  +51.00
JHPO         48  2350.    0. 0.0e+00 H+P+O                    *  -12.70
JN2O         44  2400.    0. 0.0e+00 N+N+O                    *  +20.30
JNO2         46  2400.    0. 0.0e+00 N+O+O                    *   +8.80
JP           31  1100.    0. 0.0e+00 O/S=N/P                  *  +75.40
JPH          32  1550.    0. 0.0e+00 P+H                      *  +60.80
JPH2         33  2000.    0. 0.0e+00 P+H+H                    *  +29.50
JPN          45  1900.    0. 0.0e+00 P+N                      *  +41.20
JPO          47  1900.    0. 0.0e+00 P+O                      *   -6.60
JSiN         42  3500.    0. 0.0e+00 Si+N                     *  +96.20
JSiO2        60  4300.    0. 0.0e+00 Si+O+O                   *  -76.70
JCH3COCH3    58  3500.    0. 0.0e+00 CH3+CH3+CO               *  -47.92
JC3P         67  5900.    0. 0.0e+00 C3+P                     * -999.99
JC4P         79  7500.    0. 0.0e+00 C4+P                     * -999.99
JCCP         55  4300.    0. 0.0e+00 C2+P                     * -999.99
JH2SiO       46  4050.    0. 0.0e+00 Si+O+O+H2                * -999.99
JHCCP        56  4750.    0. 0.0e+00 H+CCP                    * -999.99
JHCSi        41  3625.    0. 0.0e+00 Si+CH                    * -999.99
JHNSi        43  5078.    0. 0.0e+00 Si+NH                    * -999.99
JNH2CN       46  5556.    0. 0.0e+00 NH2+CN                   * -999.99
Jc-SiC2      52  4300.    0. 0.0e+00 Si+C+C                   * -999.99
JHCCSi       53  4750.    0. 0.0e+00 Si+C+C+H                 * -999.99
Jc-HCCHSi    54  5200.    0. 0.0e+00 Si+C+C+H                 * -999.99
